date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:44	500761/500761	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2021:00:28%20GMT	https://shellshock.io/	C:/My%20Web%20Sites/shellshockers/shellshock.io/index.html	(from )
16:35:44	22/22	---M--	200	added ('OK')	text/plain	etag:%2265b829f2-16%22	https://shellshock.io/robots.txt		(from )
16:35:45	14632/14632	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265b829e4-3928%22	https://shellshock.io/img/logo.svg	C:/My%20Web%20Sites/shellshockers/shellshock.io/img/logo.svg	(from https://shellshock.io/)
16:35:45	47768/47768	---M--	200	added ('OK')	image/png	etag:%2265b829e1-ba98%22	https://shellshock.io/img/BlueWizard-Logo-min.png	C:/My%20Web%20Sites/shellshockers/shellshock.io/img/BlueWizard-Logo-min.png	(from https://shellshock.io/)
16:35:45	530/530	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Feb%202024%2022:35:43%20GMT	https://shellshock.io/GET	C:/My%20Web%20Sites/shellshockers/shellshock.io/GET	(from https://shellshock.io/)
16:35:45	530/530	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Feb%202024%2022:35:43%20GMT	https://shellshock.io/firebaseLocalStorageDb	C:/My%20Web%20Sites/shellshockers/shellshock.io/firebaseLocalStorageDb	(from https://shellshock.io/)
16:35:45	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2265b829e1-47e%22	https://shellshock.io/favicon.ico	C:/My%20Web%20Sites/shellshockers/shellshock.io/favicon.ico	(from https://shellshock.io/)
16:35:46	15352/15352	---M--	200	added ('OK')	image/png	etag:%2265b829e1-3bf8%22	https://shellshock.io/favicon192.png	C:/My%20Web%20Sites/shellshockers/shellshock.io/favicon192.png	(from https://shellshock.io/)
16:35:46	932/932	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Feb%202024%2022:35:44%20GMT	https://shellshock.io/favicon256.png	C:/My%20Web%20Sites/shellshockers/shellshock.io/favicon256.png	(from https://shellshock.io/)
16:35:47	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%225f0f47d3-e637%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/all.min.css	C:/My%20Web%20Sites/shellshockers/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/all.min.css	(from https://shellshock.io/)
